Date,attendance,visitorCards,homeSeekers,specialOccasion
1/29/2023,46,,,
2/5/2023,45,2,1,
2/12/2023,32,1,,
2/19/2023,45,,,
2/26/2023,41,,,
3/5/2023,40,,,
3/12/2023,41,,,
3/19/2023,45,1,,
3/26/2023,50,,,
4/2/2023,104,3,,
4/9/2023,45,,,
4/16/2023,55,,,
4/23/2023,39,,,
4/30/2023,33,,,
5/7/2023,41,,,
5/14/2023,35,3,,
5/21/2023,30,,,
5/28/2023,68,,,
6/4/2023,42,1,,
6/11/2023,25,,,
6/18/2023,34,,,
6/25/2023,31,1,,
7/2/2023,,1,,
7/9/2023,44,,,
7/16/2023,42,,,
7/23/2023,72,4,1,
7/30/2023,36,1,,
8/6/2023,46,1,,
8/13/2023,53,2,,
8/20/2023,51,3,,
8/27/2023,55,1,,
9/3/2023,,,,
9/10/2023,,,,
9/17/2023,,,,
9/24/2023,,,,
10/1/2023,,,,
10/8/2023,,,,
10/15/2023,,,,
10/22/2023,,,,
10/29/2023,,,,
11/5/2023,,,,
11/12/2023,,,,
11/19/2023,,,,
11/26/2023,,,,
12/3/2023,,,,
12/10/2023,,,,
12/17/2023,,,,
12/24/2023,,,,
12/31/2023,,,,
